scope,node,x,y,direction,offered_cycles,accepted_flits,stall_cycles,packets,state_flits,partial_flits,epoch_done_flits,other_flits,window_utilization,backpressure_fraction
inject,0,0,0,local,190,165,25,45,4,160,1,0,0.090610,0.131579
eject,0,0,0,local,62,57,5,27,16,40,1,0,0.031301,0.080645
link,0,0,0,south,102,80,22,20,0,80,0,0,0.043932,0.215686
link,0,0,0,east,82,80,2,20,0,80,0,0,0.043932,0.024390
inject,1,1,0,local,177,169,8,49,8,160,1,0,0.092806,0.045198
eject,1,1,0,local,106,97,9,37,16,80,1,0,0.053267,0.084906
link,1,1,0,south,80,80,0,20,0,80,0,0,0.043932,0.000000
link,1,1,0,east,84,80,4,20,0,80,0,0,0.043932,0.047619
link,1,1,0,west,44,44,0,14,4,40,0,0,0.024163,0.000000
inject,2,2,0,local,95,89,6,29,8,80,1,0,0.048874,0.063158
eject,2,2,0,local,97,89,8,29,8,80,1,0,0.048874,0.082474
link,2,2,0,south,82,80,2,20,0,80,0,0,0.043932,0.024390
link,2,2,0,east,46,44,2,14,4,40,0,0,0.024163,0.043478
link,2,2,0,west,48,48,0,18,8,40,0,0,0.026359,0.000000
inject,3,3,0,local,194,169,25,49,8,160,1,0,0.092806,0.128866
eject,3,3,0,local,105,97,8,37,16,80,1,0,0.053267,0.076190
link,3,3,0,south,40,40,0,10,0,40,0,0,0.021966,0.000000
link,3,3,0,west,107,84,23,24,4,80,0,0,0.046129,0.214953
inject,4,0,1,local,96,89,7,29,8,80,1,0,0.048874,0.072917
eject,4,0,1,local,104,89,15,29,8,80,1,0,0.048874,0.144231
link,4,0,1,north,8,8,0,8,8,0,0,0,0.004393,0.000000
link,4,0,1,south,66,40,26,10,0,40,0,0,0.021966,0.393939
link,4,0,1,east,46,44,2,14,4,40,0,0,0.024163,0.043478
inject,5,1,1,local,97,89,8,29,8,80,1,0,0.048874,0.082474
eject,5,1,1,local,100,89,11,29,8,80,1,0,0.048874,0.110000
link,5,1,1,north,4,4,0,4,4,0,0,0,0.002197,0.000000
link,5,1,1,south,80,80,0,20,0,80,0,0,0.043932,0.000000
link,5,1,1,east,42,40,2,10,0,40,0,0,0.021966,0.047619
link,5,1,1,west,4,4,0,4,4,0,0,0,0.002197,0.000000
inject,6,2,1,local,9,9,0,9,8,0,1,0,0.004942,0.000000
eject,6,2,1,local,91,81,10,21,0,80,1,0,0.044481,0.109890
link,6,2,1,north,8,8,0,8,8,0,0,0,0.004393,0.000000
link,6,2,1,south,88,84,4,24,4,80,0,0,0.046129,0.045455
link,6,2,1,east,4,4,0,4,4,0,0,0,0.002197,0.000000
link,6,2,1,west,4,4,0,4,4,0,0,0,0.002197,0.000000
inject,7,3,1,local,98,89,9,29,8,80,1,0,0.048874,0.091837
eject,7,3,1,local,98,89,9,29,8,80,1,0,0.048874,0.091837
link,7,3,1,north,8,8,0,8,8,0,0,0,0.004393,0.000000
link,7,3,1,south,40,40,0,10,0,40,0,0,0.021966,0.000000
link,7,3,1,west,46,44,2,14,4,40,0,0,0.024163,0.043478
